VAR,DESCRIPTION
VMONTH,Month of visit
VDAYR,Day of week of visit
AGE,Patient age in years
AGER,Patient age recode
AGEDAYS,Age in days for patients less than 1 year
SEX,Patient sex
PREGNANT,Is patient pregnant?
GESTWK,Gestation week
ETHUN,Patient ethnicity - unimputed
RACEUN,Patient race - unimputed
ETHIM,Patient ethnicity - imputed
RACER,Patient race - imputed
RACERETH,Race/ethnicity - imputed
NOPAY,Expected source of payment for visit: No answer to item
PAYPRIV,Expected source of payment for visit: Private insurance
PAYMCARE,Expected source of payment for visit: Medicare
PAYMCAID,Expected source of payment for visit: Medicaid or CHIP or other state-based program
PAYWKCMP,Expected source of payment for visit: Workers Compensation
PAYSELF,Expected source of payment for visit: Self-pay
PAYNOCHG,Expected source of payment for visit: No Charge/Charity
PAYOTH,Expected source of payment for visit: Other
PAYDK,Expected source of payment for visit: Unknown
PAYTYPER,Type of payment (recoded from multiple sources using hierarchy)
USETOBAC,Tobacco Use
EVERTOBAC,Prior Tobacco Use
INJURY,"Is visit related to an injury/trauma, overdose/poisoning, or adverse effect of medical/surgical treatment?"
INJPOISAD,Is visit related to injury/poisoning/adverse effect of medical/surgical treatment?
INJURY72,"Did the injury/trauma, overdose/poisoning or adverse effect occur within 72 hours prior to the date and time of this visit?"
INTENT,Is this injury/trauma or overdose/poisoning intentional or unintentional?
INJURY_ENC,Type of encounter for injury visits
RFV1,Patient's reason for visit #1
RFV13D,Patient's reason for visit #1 - broader
RFV2,Patient's reason for visit #2
RFV23D,Patient's reason for visit #2 - broader
RFV3,Patient's reason for visit #3
RFV33D,Patient's reason for visit #3 - broader
RFV4,Patient's reason for visit #4
RFV43D,Patient's reason for visit #4 - broader
RFV5,Patient's reason for visit #5
RFV53D,Patient's reason for visit #5 - broader
CAUSE1,"Cause of injury/trauma, overdose/poisoning, or adverse effect - #1"
CAUSE2,"Cause of injury/trauma, overdose/poisoning, or adverse effect - #2"
CAUSE3,"Cause of injury/trauma, overdose/poisoning, or adverse effect - #3"
PRIMCARE,Are you the patient's primary care provider?
REFER,Was patient referred for visit?
SENBEFOR,Has this patient been seen in your practice before?
PASTVIS,"If yes, how many past visits in the last 12 months?"
MAJOR,Major reason for this visit
DIAG1,Diagnosis #1
PRDIAG1,"Is diagnosis #1 probable, questionable or rule out?"
DIAG2,Diagnosis #2
PRDIAG2,"Is diagnosis $2 probable, questionable or rule out?"
DIAG3,Diagnosis #3
PRDIAG3,"Is diagnosis #3 probable, questionable or rule out?"
DIAG4,Diagnosis #4 - numeric recode
PRDIAG4,"Is diagnosis #4 probable, questionable or rule out?"
DIAG5,Diagnosis #5 - numeric recode
